name,type,capacity,facilities,status,open_hours,description,admin_username,building_name,floor_label,room_code,location,image_url,photos
体育馆主馆A区,Hall,300,音响设备;看台;记分屏,available,周一至周日 06:00-22:00,体育赛事与大型活动场地,venue_admin_tiyuguan,体育馆,1层,A区,体育馆 1层 A区,,
体育馆主馆B区,Hall,260,音响设备;看台;记分屏,available,周一至周日 06:00-22:00,教学比赛活动场地,venue_admin_tiyuguan,体育馆,1层,B区,体育馆 1层 B区,,
体育馆多功能教室,Classroom,90,投影仪;白板;空调,available,周一至周日 08:00-22:00,体育理论与赛前会议教室,venue_admin_tiyuguan,体育馆,2层,教室2A,体育馆 2层 教室2A,,
体育馆训练室1,Lab,80,体测设备;音响设备;白板,available,周一至周日 06:00-22:00,体能训练与课程实践空间,venue_admin_tiyuguan,体育馆,2层,训练室1,体育馆 2层 训练室1,,
健行楼101,Classroom,80,投影仪;白板;空调,available,周一至周日 08:00-22:00,标准教学教室,venue_admin_jianxing,健行楼,1层,101,健行楼 1层 101,,
健行楼102,Classroom,90,投影仪;白板;音响设备,available,周一至周日 08:00-22:00,小型公开课教室,venue_admin_jianxing,健行楼,1层,102,健行楼 1层 102,,
健行楼201,Classroom,70,投影仪;电脑;白板,available,周一至周日 08:00-22:00,研讨型教室,venue_admin_jianxing,健行楼,2层,201,健行楼 2层 201,,
健行楼301创新实验室,Lab,45,高性能电脑;投影仪;白板,available,周一至周日 08:00-22:00,课程实践实验室,venue_admin_jianxing,健行楼,3层,301,健行楼 3层 301,,
广知楼101,Classroom,100,投影仪;音响设备;白板,available,周一至周日 08:00-22:00,综合教学教室,venue_admin_guangzhi,广知楼,1层,101,广知楼 1层 101,,
广知楼201学术报告厅,Hall,220,投影仪;音响设备;舞台,available,周一至周日 08:00-22:00,大型学术报告空间,venue_admin_guangzhi,广知楼,2层,201,广知楼 2层 201,,
广知楼301,Classroom,120,投影仪;白板;电脑,available,周一至周日 08:00-22:00,中型授课教室,venue_admin_guangzhi,广知楼,3层,301,广知楼 3层 301,,
广知楼302媒体实验室,Lab,55,摄影灯;电脑;白板,available,周一至周日 08:00-22:00,融媒体实践空间,venue_admin_guangzhi,广知楼,3层,302,广知楼 3层 302,,
板球场战术分析室,Lab,50,电脑;战术显示屏;白板,available,周一至周日 08:00-21:00,赛后复盘与数据分析空间,venue_admin_banqiuchang,板球场,1层,分析室1,板球场 1层 分析室1,,
板球场看台教室,Classroom,100,投影仪;白板;音响设备,available,周一至周日 08:00-21:00,观赛教学复合空间,venue_admin_banqiuchang,板球场,1层,看台教室,板球场 1层 看台教室,,
板球场内场,Hall,240,草坪;照明;电子记分牌,available,周一至周日 06:00-21:00,板球比赛主场地,venue_admin_banqiuchang,板球场,室外,内场,板球场 室外 内场,,
板球场训练网区,Hall,120,草坪;照明,available,周一至周日 06:00-21:00,板球专项训练区域,venue_admin_banqiuchang,板球场,室外,训练网区,板球场 室外 训练网区,,
艺术楼101,Classroom,60,投影仪;白板,available,周一至周日 08:00-22:00,艺术理论教学教室,venue_admin_yishu,艺术楼,1层,101,艺术楼 1层 101,,
艺术楼小剧场,Hall,180,舞台;音响设备;灯光,available,周一至周日 09:00-22:00,展演与汇报空间,venue_admin_yishu,艺术楼,1层,A101,艺术楼 1层 A101,,
艺术楼201,Classroom,90,投影仪;音响设备;画架,available,周一至周日 08:00-22:00,艺术综合实践教室,venue_admin_yishu,艺术楼,2层,201,艺术楼 2层 201,,
艺术楼301数字创作实验室,Lab,40,电脑;数位屏;白板,available,周一至周日 08:00-22:00,数字艺术创作空间,venue_admin_yishu,艺术楼,3层,301,艺术楼 3层 301,,
计算机楼201,Classroom,100,高性能电脑;投影仪;白板,available,周一至周日 08:00-23:00,程序设计实验教室,venue_admin_jisuanji,计算机楼,2层,201,计算机楼 2层 201,,
计算机楼301,Lab,80,高性能电脑;投影仪;音响设备,available,周一至周日 08:00-23:00,软件工程实验室,venue_admin_jisuanji,计算机楼,3层,301,计算机楼 3层 301,,
计算机楼302AI实验室,Lab,70,GPU工作站;白板;投影仪,available,周一至周日 08:00-23:00,人工智能训练实验室,venue_admin_jisuanji,计算机楼,3层,302,计算机楼 3层 302,,
计算机楼401,Classroom,90,电脑;白板;空调,available,周一至周日 08:00-23:00,综合教学教室,venue_admin_jisuanji,计算机楼,4层,401,计算机楼 4层 401,,
