name,type,capacity,building_name,floor_label,room_code,location,facilities,status,open_hours,description,admin_username,image_url,photos
健行楼101,Classroom,80,健行楼,1层,101,健行楼 1层 101,"投影仪;白板;空调",available,周一至周日 08:00-22:00,标准教学教室,venue_admin_jianxing,,
健行楼102,Classroom,120,健行楼,1层,102,健行楼 1层 102,"投影仪;音响设备;白板",available,周一至周日 08:00-22:00,中型教学教室,venue_admin_jianxing,,
健行楼201,Classroom,60,健行楼,2层,201,健行楼 2层 201,"投影仪;电脑",available,周一至周日 08:00-22:00,研讨型教室,venue_admin_jianxing,,
艺术楼101,Classroom,70,艺术楼,1层,101,艺术楼 1层 101,"投影仪;白板",available,周一至周日 08:00-22:00,艺术理论教学教室,venue_admin_yishu,,
艺术楼201,Classroom,90,艺术楼,2层,201,艺术楼 2层 201,"投影仪;音响设备;画架",available,周一至周日 08:00-22:00,艺术综合实践教室,venue_admin_yishu,,
艺术楼301,Classroom,50,艺术楼,3层,301,艺术楼 3层 301,"白板;电脑",available,周一至周日 08:00-22:00,小班创作教室,venue_admin_yishu,,
计算机楼201,Classroom,110,计算机楼,2层,201,计算机楼 2层 201,"高性能电脑;投影仪;白板",available,周一至周日 08:00-23:00,程序设计实验教室,venue_admin_jisuanji,,
计算机楼301,Classroom,130,计算机楼,3层,301,计算机楼 3层 301,"高性能电脑;投影仪;音响设备",available,周一至周日 08:00-23:00,大容量机房教室,venue_admin_jisuanji,,
计算机楼401,Classroom,90,计算机楼,4层,401,计算机楼 4层 401,"电脑;白板;空调",available,周一至周日 08:00-23:00,软件工程教室,venue_admin_jisuanji,,
广知楼101,Classroom,180,广知楼,1层,101,广知楼 1层 101,"投影仪;音响设备;白板",available,周一至周日 08:00-22:00,学术讲座教室,venue_admin_guangzhi,,
广知楼201,Classroom,220,广知楼,2层,201,广知楼 2层 201,"投影仪;音响设备;舞台",available,周一至周日 08:00-22:00,大型公开课教室,venue_admin_guangzhi,,
广知楼301,Classroom,150,广知楼,3层,301,广知楼 3层 301,"投影仪;白板;电脑",available,周一至周日 08:00-22:00,综合教学教室,venue_admin_guangzhi,,
体育馆主馆A区,Classroom,800,体育馆,1层,A区,体育馆 1层 A区,"音响设备;看台;记分屏",available,周一至周日 06:00-22:00,大型活动主场地A区,venue_admin_tiyuguan,,
体育馆主馆B区,Classroom,600,体育馆,1层,B区,体育馆 1层 B区,"音响设备;看台;记分屏",available,周一至周日 06:00-22:00,大型活动主场地B区,venue_admin_tiyuguan,,
体育馆训练室1,Classroom,120,体育馆,2层,训练室1,体育馆 2层 训练室1,"音响设备;白板;空调",available,周一至周日 06:00-22:00,体能训练与教学空间,venue_admin_tiyuguan,,
板球场内场,Classroom,500,板球场,室外,内场,板球场 室外 内场,"草坪;照明;电子记分牌",available,周一至周日 06:00-21:00,板球比赛主场地,venue_admin_banqiuchang,,
板球场训练区A,Classroom,200,板球场,室外,训练区A,板球场 室外 训练区A,"草坪;照明",available,周一至周日 06:00-21:00,板球训练区域A,venue_admin_banqiuchang,,
板球场看台教室,Classroom,150,板球场,1层,看台教室,板球场 1层 看台教室,"投影仪;白板;音响设备",available,周一至周日 08:00-21:00,观赛与教学复合空间,venue_admin_banqiuchang,,
